fc_key,input_name,sample,chain_id,native_chain_id,found,returned_name_matches_requested
59f9b3bcc06b5e7e03a79fed50eed0370fa79f2f_0_G,59f9b3bcc06b5e7e03a79fed50eed0370fa79f2f,0,G,A,True,True
a79947c77cb6914d9a15d4b277ab822d694df6cb_2_B,a79947c77cb6914d9a15d4b277ab822d694df6cb,2,B,A,True,True
7d03d1f499a3c91de2737521d0f9f7ab4e5da1bb_2_D,7d03d1f499a3c91de2737521d0f9f7ab4e5da1bb,2,D,A,True,True
f632e567775bc232f12a07062c0767d535625a4c_0_E,f632e567775bc232f12a07062c0767d535625a4c,0,E,A,True,True
7ad536aed29f8ef9e7b3b80bc0fe3ba516ba419d_3_C,7ad536aed29f8ef9e7b3b80bc0fe3ba516ba419d,3,C,A,True,True
e28fe8c49335b4597cd56271d55a9a4181f146d3_1_A,e28fe8c49335b4597cd56271d55a9a4181f146d3,1,A,A,True,True
f441e632f6d4b9dd681a08d377cb649c3a6b0742_4_K,f441e632f6d4b9dd681a08d377cb649c3a6b0742,4,K,A,True,True
0ef5970143e3b8345f4b94facb5c1334afb1c7d5_0_F,0ef5970143e3b8345f4b94facb5c1334afb1c7d5,0,F,A,True,True
10c69c768e6a8561d845f98686125182d63b6d8a_4_G,10c69c768e6a8561d845f98686125182d63b6d8a,4,G,A,True,True
df3c1b734a537d25d64091b97662bf91149f2869_3_A,df3c1b734a537d25d64091b97662bf91149f2869,3,A,A,True,True
80d4780b994935a0daa0c8ccb3a1d4c2a60cc77a_3_E,80d4780b994935a0daa0c8ccb3a1d4c2a60cc77a,3,E,A,True,True
0219b130423c65d955f802db87c5e768c465914b_3_E,0219b130423c65d955f802db87c5e768c465914b,3,E,A,True,True
b99c2e4e3eb612e03fc0a7e4328c0389f7b239fa_4_L,b99c2e4e3eb612e03fc0a7e4328c0389f7b239fa,4,L,A,True,True
5c14c731758caac103dadb3ecd32bb260f68c78a_1_I,5c14c731758caac103dadb3ecd32bb260f68c78a,1,I,A,True,True
c01bdc263b25b80072a538041fe0464bb221b4fc_4_G,c01bdc263b25b80072a538041fe0464bb221b4fc,4,G,A,True,True
6a84fd1222bf199d86b0df1868820cd83429f477_0_B,6a84fd1222bf199d86b0df1868820cd83429f477,0,B,A,True,True
43be07bd1594e7bab1ba60fdd0c46f89bab351cd_3_C,43be07bd1594e7bab1ba60fdd0c46f89bab351cd,3,C,A,True,True
p15303_p38891_3_B,p15303_p38891,3,B,A,True,True
19a0df344748372ec820a3cd412ed18571c43f64_3_G,19a0df344748372ec820a3cd412ed18571c43f64,3,G,A,True,True
520ba9e785e85f2de0ddd3d0fee0b7fb695b0b6d_1_M,520ba9e785e85f2de0ddd3d0fee0b7fb695b0b6d,1,M,A,True,True
90862d9b36208261764afb11ab566bf35e0e0e76_3_G,90862d9b36208261764afb11ab566bf35e0e0e76,3,G,A,True,True
0a7186351efe801ce7d9ab67ffc8fca063a3dd03_1_B,0a7186351efe801ce7d9ab67ffc8fca063a3dd03,1,B,A,True,True
1198c18c6de254ab3b88ca8c455b422994e6f95c_4_A,1198c18c6de254ab3b88ca8c455b422994e6f95c,4,A,A,True,True
76bcc49f0e270add99a677d3768e71974ec7a5dc_1_C,76bcc49f0e270add99a677d3768e71974ec7a5dc,1,C,A,True,True
ec1249b470b14d190f3b60c5e5329be02b04f309_3_K,ec1249b470b14d190f3b60c5e5329be02b04f309,3,K,A,True,True
8bed29dd726cc92e5729aff02e3159f852a505a4_0_B,8bed29dd726cc92e5729aff02e3159f852a505a4,0,B,A,True,True
19989e01a381a57442e68be9dfbc8892197593a7_3_F,19989e01a381a57442e68be9dfbc8892197593a7,3,F,A,True,True
358171ccad9bb325065cf10d6c4f6e0b0becaef8_4_K,358171ccad9bb325065cf10d6c4f6e0b0becaef8,4,K,A,True,True
5f36897657f82fc96ceb78583fd7a317932450a7_3_F,5f36897657f82fc96ceb78583fd7a317932450a7,3,F,A,True,True
p38805_q06218_4_B,p38805_q06218,4,B,A,True,True
60c4271d80da3eab02c6db716525c70776049a5e_2_F,60c4271d80da3eab02c6db716525c70776049a5e,2,F,A,True,True
16aa5df2cddd69b3e1e9a6ab8c3a5325c6e1d599_0_C,16aa5df2cddd69b3e1e9a6ab8c3a5325c6e1d599,0,C,A,True,True
b573f55a3717f725ecdfb0aac0cd9808217a4a3d_2_C,b573f55a3717f725ecdfb0aac0cd9808217a4a3d,2,C,A,True,True
417f769f5d4f5061d70f35145abef1950acb76e8_0_F,417f769f5d4f5061d70f35145abef1950acb76e8,0,F,A,True,True
0d24ebbae0589852ce5c4bf642e61198c39546e5_1_L,0d24ebbae0589852ce5c4bf642e61198c39546e5,1,L,A,True,True
fefc6fa8901332bf7074381d3879b68d60467b5e_1_E,fefc6fa8901332bf7074381d3879b68d60467b5e,1,E,A,True,True
21c335ba333260de6fa6029cf7833fd7a4278bd8_3_F,21c335ba333260de6fa6029cf7833fd7a4278bd8,3,F,A,True,True
1b6499720a8bd18579246f851b1c78237a005a18_3_O,1b6499720a8bd18579246f851b1c78237a005a18,3,O,A,True,True
d7b754d608976fb7035dc0b30d07defa94796b8c_2_A,d7b754d608976fb7035dc0b30d07defa94796b8c,2,A,A,True,True
cbf311c2b586419410a6d5aaa132a6f1e33bf170_2_E,cbf311c2b586419410a6d5aaa132a6f1e33bf170,2,E,A,True,True
f12b6c2ff7ac97975f34454d99e7222af6ff048f_1_E,f12b6c2ff7ac97975f34454d99e7222af6ff048f,1,E,A,True,True
2b7694d5d706c3d2b708663d08dd67048b6a24b1_2_C,2b7694d5d706c3d2b708663d08dd67048b6a24b1,2,C,A,True,True
9a1177b5fe4809da20e1be275bea4e7deb021c76_3_G,9a1177b5fe4809da20e1be275bea4e7deb021c76,3,G,A,True,True
813481685f11a471923c165d52ca1fdcf1582791_4_B,813481685f11a471923c165d52ca1fdcf1582791,4,B,A,True,True
90a1300531f35f06c03b43bd85a7059528756f2b_4_E,90a1300531f35f06c03b43bd85a7059528756f2b,4,E,A,True,True
59b3f4db42e8d6d310fb14c55dc78f7717bbd64d_1_G,59b3f4db42e8d6d310fb14c55dc78f7717bbd64d,1,G,A,True,True
4ce9151f9cbdb69a5c9d02d611f6a606fb137285_0_H,4ce9151f9cbdb69a5c9d02d611f6a606fb137285,0,H,A,True,True
5fa06c791b6d3a9550779ad17f48607a30d6749d_2_F,5fa06c791b6d3a9550779ad17f48607a30d6749d,2,F,A,True,True
b22d35d724e7ebb40302cf54d75f2625cf98abeb_3_J,b22d35d724e7ebb40302cf54d75f2625cf98abeb,3,J,A,True,True
1640bacee320d5471e913bbe530cee59c4a78f4a_0_A,1640bacee320d5471e913bbe530cee59c4a78f4a,0,A,A,True,True
257ee4c31c7f87f033a9b493097ec5f15c192425_0_D,257ee4c31c7f87f033a9b493097ec5f15c192425,0,D,A,True,True
c2224c76d091111c251828fbb0c84857be90099a_1_I,c2224c76d091111c251828fbb0c84857be90099a,1,I,A,True,True
5aec41ce60d056e031154ceba95d4c168c0d3459_0_B,5aec41ce60d056e031154ceba95d4c168c0d3459,0,B,A,True,True
5adb4ae7a27276eea7749b5088e8cb490df5e709_4_A,5adb4ae7a27276eea7749b5088e8cb490df5e709,4,A,A,True,True
97851cc97c6ce5ba15403f144c09dcbd9ca0a97a_0_I,97851cc97c6ce5ba15403f144c09dcbd9ca0a97a,0,I,A,True,True
a4adb5226e9cec4965fd74f20f8068fd533541c0_2_H,a4adb5226e9cec4965fd74f20f8068fd533541c0,2,H,A,True,True
059a1750f374608975876cdc0bedb64ac65ee223_1_D,059a1750f374608975876cdc0bedb64ac65ee223,1,D,A,True,True
be760f9091e6fbae3f6b7edf8e1f0bd03f8279cc_3_C,be760f9091e6fbae3f6b7edf8e1f0bd03f8279cc,3,C,A,True,True
67c473c79abec60db02b08fcbc9cd7d6fe0cbfe6_4_I,67c473c79abec60db02b08fcbc9cd7d6fe0cbfe6,4,I,A,True,True
0895c384f00a33e2d2442606415062f62d4ba00c_1_A,0895c384f00a33e2d2442606415062f62d4ba00c,1,A,A,True,True
d45b214b68ceba3d307500c635e94d06bdc004f8_3_G,d45b214b68ceba3d307500c635e94d06bdc004f8,3,G,A,True,True
63b51f650ee2241b5437c7512110d1c82d3dbf7f_0_G,63b51f650ee2241b5437c7512110d1c82d3dbf7f,0,G,A,True,True
79b91562b2d7c89da6b47348dc2cd74560d4a481_3_C,79b91562b2d7c89da6b47348dc2cd74560d4a481,3,C,A,True,True
30debf780f4147a0b0ded29942a52e8b23e8da80_3_H,30debf780f4147a0b0ded29942a52e8b23e8da80,3,H,A,True,True
cc5be2bf04795bdcb3ad4457db2be949e395d8b7_1_B,cc5be2bf04795bdcb3ad4457db2be949e395d8b7,1,B,A,True,True
1df9903620dace7294d01d8f555997b929d608ce_1_D,1df9903620dace7294d01d8f555997b929d608ce,1,D,A,True,True
e5a0fb54516943009f3f04e92ba8640a57acd5a3_3_F,e5a0fb54516943009f3f04e92ba8640a57acd5a3,3,F,A,True,True
a45aa8df8e27fb043ff4492a10e96c794665ecff_2_B,a45aa8df8e27fb043ff4492a10e96c794665ecff,2,B,A,True,True
9950cd5a62ac22e8cead1b441271174cd48e20ed_2_C,9950cd5a62ac22e8cead1b441271174cd48e20ed,2,C,A,True,True
31ee2c8ddfb7a44434b7776bb5b5265434ab510a_3_J,31ee2c8ddfb7a44434b7776bb5b5265434ab510a,3,J,A,True,True
ca53a856ca2caaec582250624e5bb081f29f98b8_3_B,ca53a856ca2caaec582250624e5bb081f29f98b8,3,B,A,True,True
df8e3e52a5953119bda821a4701184e7e6f30dee_2_K,df8e3e52a5953119bda821a4701184e7e6f30dee,2,K,A,True,True
f4491513c027eabb84e79dd1832b022addbf2349_0_D,f4491513c027eabb84e79dd1832b022addbf2349,0,D,A,True,True
422a58d694bce8ee74d928dffe33e342e9429512_1_A,422a58d694bce8ee74d928dffe33e342e9429512,1,A,A,True,True
b53feea243946dc625a40e846bbfc3a9b334ad0f_3_E,b53feea243946dc625a40e846bbfc3a9b334ad0f,3,E,A,True,True
0916dd245d713b5e205c71bdeed1b95278d8a739_4_C,0916dd245d713b5e205c71bdeed1b95278d8a739,4,C,A,True,True
11ce1805f1748ac9e3b8103d2584361601b902a8_0_G,11ce1805f1748ac9e3b8103d2584361601b902a8,0,G,A,True,True
2a9c83563c7d3a2237faa108294581311f1e16ed_3_G,2a9c83563c7d3a2237faa108294581311f1e16ed,3,G,A,True,True
dfd8479ebb27a7a1cb32c2070c1d84814c621392_2_B,dfd8479ebb27a7a1cb32c2070c1d84814c621392,2,B,A,True,True
5a70b6d853b4e73c8a00cfafdfb667abda112b90_4_H,5a70b6d853b4e73c8a00cfafdfb667abda112b90,4,H,A,True,True
