# 2026/06/13 - 13:35 | PDB: 24.26 | UniProt: 2026.02
SP_PRIMARY	PDB
A0A003	6kvc;6kv9
A0A009I821	7ryg;7m4w;7ryf;7uvx;7uvy;7m4z;7ryh;7uvv;7uvz;7uw1;7m4x;7m4y;7uvw
A0A009IHW8	7uxu;8g83;7uwg
A0A009PZ93	9kbq
A0A010	5b0j;5b01;6j8v;5gwv;5b02;5gww;5b0m;6j8w;5b03;5b0l;5b0k;5b0i;5b00
A0A011	3vka;3vk5;3vkb;3vkc;3vkd
A0A014M399	7dg0;7dfx
A0A015K8Z8	9mr6
A0A016UNP9	2md0
A0A016UZK2	7a4a
A0A017T5A5	6gmf
A0A022MLV4	7vyu
A0A022MQ12	6sj1;6sj4;6sj3;6sj2;6sj0
A0A022MRT4	6siz;6tm4;6siy;6siw;6six
A0A023DFE8	9b2p;9b2j;6n9q;9b2o;9b2i;6n9i;6n9r;9b2l;9ayt;9b2n
A0A023FDY8	7s58;7so0;7s4n;7s59
A0A023FFD0	8fk9
A0A023GPI4	2m6j
A0A023GPI5	4ccs
A0A023GPI8	4k1y;4k21;4k1z;4k20
A0A023GPJ0	4ntq
A0A023GUL3	5f5n;5f5l
A0A023GUN4	8r20
A0A023GUP0	5wpy;5wpx;2my5;2my6
A0A023GYI2	2nb6
A0A023GYK7	2nb5
A0A023H437	5fuk;5fuj
A0A023HHP9	9k7v
A0A023I4U3	8jn0;8jnx
A0A023I7E1	4k3a;5xbz;4k35;5xc2
A0A023J4Z7	6hjc;6hj6
A0A023J5W7	7xtj
A0A023J7B5	9kzs;9kz3;9l7b;9juf;9l4s;9l7n;9l6n;9kzf
A0A023L3G7	9dhe
A0A023L7J3	8w8z
A0A023LLI1	5z6p
A0A023NA98	7p1h;7d5y
A0A023PFZ0	8v62;8v5k;8v5a
A0A023PU38	8y74
A0A023R6W2	5j37;5j36;5j09
A0A023UGN9	6zjw;6sed;6h1p;6seb;6zjq;6zjr;6zju;6sec;6zjt;6zjs;6etz;6se8;6zjx;6se9;6zjp;6zjv;6sea
A0A023VSF1	5bp8
A0A023X3C8	7lq4
A0A023X3Z4	7lq3;7lq2;7lq4
A0A023YYV9	6ai4
A0A024AX32	8gqr;8h0m
A0A024B5J2	6y5x;6y5y
A0A024B7W1	6ld5;5kqs;6ld1;6ld2;5jmt;5gp1;5nju;6mid;6nip;6niu;5m5b;7bua;5h30;7yw8;9js7;7kcr;9js6;5iz7;5kve;5mrk;8cxi;7a3n;5h37;6jfh;6jfi;5ire;6co8;8ee8;5goz;5y6n;7v2z;7cbp;5u4w;5y6m;5lbs;6rwz;6plk;6ld4;5ulp;6lnu;8ee5;9od2;5lcv;7t17;6lnt;5h32;8eee;5y0a;5kqr;5njv;7bpk;7yw7;7m1v;5uhy;5lbv;7bq5;7a3u;7c2t;7yar;7bsd;7bu8;8eed;6ld3;6um3;6s0j;6i7p;9xyb
A0A024BZG2	8ys5;8ys6
